id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,release_year,release_month
3172,Bandits,2001-10-12,"['Comedy', 'Crime']",English,6.3,861.0,12.723,"After escaping from prison, Joe and Terry go on a crime spree, robbing banks through Oregon and California in order to finance their scheme for a new life south of the border. Unfortunately, things get more complicated when they meet Kate, who runs into them with her car. She joins the bandits on their cross-country spree, and eventually she steals something, too: their hearts.",75000000.0,"['Epsilon Motion Pictures', 'Lotus Pictures', 'Baltimore Spring Creek Productions', 'Cheyenne Enterprises', 'Metro-Goldwyn-Mayer', 'Hyde Park Films']",67631903.0,123.0,"Two's company, three's a crime.",2001,10
8012,Get Shorty,1995-10-20,"['Comedy', 'Thriller', 'Crime']",English,6.5,877.0,12.722,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",30250000.0,"['Jersey Films', 'Metro-Goldwyn-Mayer']",115101622.0,105.0,Attitude plays a part.,1995,10
88042,Parental Guidance,2012-12-25,['Comedy'],English,5.9,424.0,12.721,Artie and Diane agree to look after their three grandkids when their type-A helicopter parents need to leave town for work. Problems arise when the kids' 21st-century behavior collides with Artie and Diane's old-school methods.,25000000.0,"['Dune Entertainment III', 'Chernin Entertainment', 'Face Productions', 'Dune Entertainment']",119772232.0,104.0,Here come the grandparents.  There go the rules.,2012,12
94047,My Way,2011-12-21,"['Drama', 'Action', 'History', 'War']",Korean,7.9,322.0,12.72,"During the invasion of Normandy the photograph of a slim Korean man in German uniform was found. It transpired that the man had served as a soldier in the Japanese, Russian and German armies. His incredible story inspired director Kang Je-Gyu to create this epic war drama.",25500000.0,"['CJ Entertainment', 'Directors', 'SK Planet']",16653488.0,137.0,"They met as enemies, but fate brought them together.",2011,12
8675,Orgazmo,1998-07-02,['Comedy'],English,6.2,363.0,12.711,A devout Mormon living in L.A. becomes a pornographic actor after his martial arts moves impress a big-time director.,1000000.0,"['Kuzui Enterprises', 'Avenging Conscience', 'October Films']",602302.0,94.0,Fighting crime never felt so good!,1998,07
10576,Psycho II,1983-06-03,"['Horror', 'Mystery', 'Thriller']",English,6.5,539.0,12.709,"After years of treatment at a mental institution for the criminally insane, serial killer Norman Bates is finally released. Deciding to move back into his long-dead mother's infamous old house, he soon finds himself tormented by 'her' demands and begins to question his own sanity.",5000000.0,"['Universal Pictures', 'Oak']",34725000.0,113.0,"It's 22 years later, and Norman Bates is finally coming home.",1983,06
8420,...And God Created Woman,1956-11-28,"['Drama', 'Romance']",French,6.1,193.0,12.706,"Juliette Hardy is sexual dynamite, and has the men of a French coastal town panting. But Antoine, the only man who affects her likewise, wouldn't dream of settling down with a woman his friends consider the town tramp.",300000.0,['Iéna Productions'],33000000.0,95.0,...but the devil invented Brigitte Bardot!,1956,11
11519,1941,1979-12-14,"['Action', 'Comedy', 'War']",English,5.8,521.0,12.705,"In the days after the attack on Pearl Harbor, panic grips California, where a military officer leads a mob chasing a Japanese sub.",35000000.0,"['Columbia Pictures', 'A-Team', 'Universal Pictures']",94900000.0,118.0,Paranoia meets pandemonium.,1979,12
152747,All Is Lost,2013-08-23,"['Action', 'Adventure', 'Drama']",English,6.6,1456.0,12.702,"During a solo voyage in the Indian Ocean, a veteran mariner awakes to find his vessel taking on water after a collision with a stray shipping container. With his radio and navigation equipment disabled, he sails unknowingly into a violent storm and barely escapes with his life. With any luck, the ocean currents may carry him into a shipping lane -- but, with supplies dwindling and the sharks circling, the sailor is forced to face his own mortality.",9000000.0,"['Before the Door Pictures', 'Washington Square Films', 'Black Bear Pictures', 'Treehouse Pictures', 'Sudden Storm Productions', 'FilmNation Entertainment']",6108720.0,106.0,Never give up.,2013,08
1945,Nell,1994-12-23,"['Drama', 'Thriller']",English,6.6,433.0,12.701,"In a remote woodland cabin, a small town doctor discovers Nell — a beautiful young hermit woman with many secrets.",31000000.0,"['Egg Pictures', 'PolyGram Filmed Entertainment']",106683817.0,112.0,Her heart. Her soul. Her language are a mystery... A mystery called Nell,1994,12
400710,Flatliners,2017-09-28,"['Drama', 'Horror', 'Thriller']",English,5.7,2110.0,12.695,"Five medical students, hoping to understand the mystery of what lies beyond life, embark on a dangerous experiment. When their hearts are stopped for a short period of time, they have a near-death experience…",19000000.0,"['The Safran Company', 'Columbia Pictures', 'Cross Creek Pictures', 'Furthur Films', 'Laurence Mark Productions']",45158254.0,111.0,You haven't lived until you've died,2017,09
32037,The Cassandra Crossing,1976-12-18,"['Action', 'Thriller']",English,6.2,169.0,12.695,"Passengers on a European train have been exposed to a deadly disease, and nobody will let them off the train.",6000000.0,"['International Cine Productions', 'Associated General Films', 'ITC Entertainment']",15300000.0,129.0,The Fear Is Spreading,1976,12
11973,Thirteen Days,2000-12-25,"['Drama', 'History', 'Thriller', 'War']",English,7.0,632.0,12.695,The story of the Cuban Missile Crisis in 1962—the nuclear standoff with the USSR sparked by the discovery by the Americans of missile bases established on the Soviet-allied island of Cuba.,80000000.0,"['New Line Cinema', 'Beacon Communications', 'Beacon Pictures', 'Tig Productions', 'Buena Vista International', 'Hollywood Pictures']",34566746.0,145.0,You'll never believe how close we came,2000,12
11456,Domestic Disturbance,2001-10-28,"['Thriller', 'Crime', 'Mystery']",English,5.8,358.0,12.695,"Frank Morrison is a divorced father with a 12-year-old son, Danny. His ex-wife Susan and son Danny now live with Rick Barnes, Susan's new husband. Danny, who has a reputation for telling lies, accuses his stepfather of committing a murder. Initially, no one believes his accusations, but then Frank becomes convinced and is the only one who believes him. Now, the father Danny trusts must protect him from the stepfather he fears.",75000000.0,['Paramount'],54249294.0,89.0,He will do anything to protect his family.,2001,10
489064,3 from Hell,2019-09-16,"['Drama', 'Horror', 'Crime']",English,5.9,383.0,12.691,"After barely surviving a furious shootout with the police, Baby Firefly, Otis Driftwood and Captain Spaulding are behind bars. But pure evil cannot be contained. Teaming up with Otis’ half-brother Winslow, the demented Firefly clan escape to unleash a whole new wave of murder, madness and mayhem.",3000000.0,"['Lionsgate', 'Capital Arts Entertainment', 'Spookshow International']",2295825.0,115.0,The Evil Returns,2019,09
17894,The Beautician and the Beast,1997-02-07,"['Comedy', 'Romance']",English,6.8,314.0,12.689,The story follows the misadventures of a New York City beautician who is mistakenly hired as the school teacher for the children of the president of a small Eastern European country.,16000000.0,"['Paramount', 'High School Sweethearts', 'Koch Company']",11486880.0,105.0,Once upon a time...,1997,02
10070,Feast,2005-10-14,"['Action', 'Horror', 'Thriller']",English,6.2,459.0,12.687,"Trapped in a remote tavern, a group of strangers must band together for survival. Outside the bar, a horde of ravenous, flesh-eating monsters are trying to break in and dine on the frightened humans inside.",3200000.0,"['Maloof Motion Pictures', 'Neo Art & Logic', 'Dimension Films', 'LivePlanet', 'Five Course Films']",658573.0,95.0,They're Hungry. You're Dinner.,2005,10
68727,Trance,2013-03-27,"['Thriller', 'Crime', 'Drama', 'Mystery']",English,6.6,1997.0,12.685,A violent gang enlists the help of a hypnotherapist in an attempt to locate a painting which somehow vanished in the middle of a heist.,20000000.0,"['Pathé', 'Decibel Films', 'Film4 Productions', 'Cloud Eight Films', 'Fox Searchlight Pictures', 'TSG Entertainment', 'Firstep']",24261569.0,101.0,Don't be a hero.,2013,03
10316,The Ides of March,2011-09-24,['Drama'],English,6.7,2210.0,12.685,Dirty tricks stand to soil an ambitious young press spokesman's idealism in a cutthroat presidential campaign where 'victory' is relative.,12500000.0,"['Appian Way', 'Crystal City Entertainment', 'Cross Creek Pictures', 'Exclusive Media', 'Smoke House Pictures']",76338111.0,101.0,Ambition seduces. Power corrupts.,2011,09
138122,Student of the Year,2012-10-19,"['Comedy', 'Drama', 'Music']",Hindi,5.8,140.0,12.684,Several alumni reminisce about their final year at St. Theresa's College and the events that shaped their lives.,8391922.0,"['Dharma Productions', 'Red Chillies Entertainment']",13749809.0,146.0,The competition of life starts 19.10.12,2012,10
761851,His Only Son,2023-03-30,"['Drama', 'History']",English,0.0,0.0,12.683,"By God's order, Abraham was commanded to sacrifice his son Isaac on the mountain of Moriah. While traveling to the place of the sacrifice, alongside Isaac and two servants, Abraham is flooded with vivid memories from the years he and Sarah spent longing for the son they were promised—the son he must now lay upon the altar.",250000.0,"['RockBridge Productions', 'Angel Studios']",11480048.0,106.0,His FAITH was tested. Our HOPE was born.,2023,03
34549,Max Keeble's Big Move,2001-10-05,"['Comedy', 'Family']",English,5.8,133.0,12.681,"Max Keeble, the victim of his 7th grade class, plots revenge when he learns he's moving; it backfires when he doesn't move after all.",25000000.0,"['Walt Disney Pictures', 'Karz Entertainment']",18634654.0,86.0,His World. His Rules.,2001,10
10145,The Forgotten,2004-09-24,"['Thriller', 'Drama', 'Mystery', 'Science Fiction']",English,5.9,1008.0,12.678,"Telly Paretta is a grieving mother struggling to cope with the loss of her 8-year-old son. She is stunned when her psychiatrist reveals that she has created eight years of memories about a son she never had. But when she meets a man who has had a similar experience, Telly embarks on a search to prove her son's existence, and her sanity.",42000000.0,"['Visual Arts Entertainment', 'Revolution Studios', 'Jinks/Cohen Company']",117592831.0,91.0,You'll Never Forget The Ones You Love,2004,09
